,Name,Team,Season,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
88,Trey Sermon,SF,2021,RB,9,41,167,4.1,16,0,1,18.6,0,0,9
89,Ameer AbdullahMIN/,CAR,2021,RB,17,51,166,3.3,15,0,0,9.8,0,0,8
90,Damien Williams,CHI,2021,RB,12,40,164,4.1,23,1,2,13.7,0,0,11
91,Tyrod Taylor,HOU,2021,QB,6,19,151,7.9,30,2,3,25.2,3,0,7
92,Salvon Ahmed,MIA,2021,RB,12,54,149,2.8,16,0,0,12.4,0,0,8
93,Dak Prescott,DAL,2021,QB,16,48,146,3.0,21,1,1,9.1,9,3,7
94,Tony Jones Jr.,NO,2021,RB,11,54,142,2.6,11,0,0,12.9,0,0,7
95,Corey Clement,DAL,2021,RB,17,33,140,4.2,38,1,0,8.2,0,0,7
96,DeeJay Dallas,SEA,2021,RB,17,33,138,4.2,15,0,2,8.1,0,0,10
97,Dare Ogunbowale,JAX,2021,RB,17,43,137,3.2,12,0,1,8.1,0,0,5
98,Mac Jones,NE,2021,QB,17,44,129,2.9,13,0,0,7.6,3,1,22
99,Tua Tagovailoa,MIA,2021,QB,13,42,128,3.0,23,1,3,9.8,3,0,13
100,Kendrick Bourne,NE,2021,WR,17,12,125,10.4,18,0,0,7.4,0,0,7
101,Matt Breida,BUF,2021,RB,9,26,125,4.8,28,1,1,13.9,1,1,5
102,Godwin Igwebuike,DET,2021,RB,17,18,118,6.6,42,1,1,6.9,2,2,7
103,Joe Burrow,CIN,2021,QB,16,40,118,3.0,12,0,2,7.4,1,0,14
104,Eno Benjamin,ARI,2021,RB,9,34,118,3.5,21,1,1,13.1,0,0,4
105,Kirk Cousins,MIN,2021,QB,16,29,115,4.0,29,1,1,7.2,2,0,8
106,Derek Carr,LV,2021,QB,17,40,108,2.7,22,1,0,6.4,4,0,9
107,Qadree Ollison,ATL,2021,RB,8,21,105,5.0,19,0,1,13.1,1,1,7
108,Wayne GallmanATL/,MIN,2021,RB,8,28,104,3.7,17,0,0,13.0,0,0,5
109,Joshua Kelley,LAC,2021,RB,10,33,102,3.1,14,0,0,10.2,1,1,5
110,Aaron Rodgers,GB,2021,QB,16,33,101,3.1,18,0,3,6.3,2,0,10
111,Le'Veon BellBAL/,TB,2021,RB,8,39,101,2.6,12,0,2,12.6,0,0,9
112,Austin Walter,NYJ,2021,RB,4,26,101,3.9,14,0,1,25.3,0,0,5
113,Marlon Mack,IND,2021,RB,6,28,101,3.6,22,1,0,16.8,0,0,6
114,Elijhaa Penny,NYG,2021,RB,17,24,99,4.1,12,0,1,5.8,0,0,9
115,Benny Snell Jr.,PIT,2021,RB,17,36,98,2.7,9,0,0,5.8,0,0,2
116,Tyreek Hill,KC,2021,WR,17,9,96,10.7,33,1,0,5.6,0,0,4
117,Chase Claypool,PIT,2021,WR,15,14,96,6.9,25,1,0,6.4,0,0,7
118,DeAndre Carter,WSH,2021,WR,17,10,89,8.9,27,1,0,5.2,1,0,4
119,Patrick Taylor Jr.,GB,2021,RB,9,23,89,3.9,12,0,1,9.9,0,0,5
120,Marcus Mariota,LV,2021,QB,10,13,87,6.7,31,1,1,8.7,1,0,6
121,Jared Goff,DET,2021,QB,14,17,87,5.1,26,1,0,6.2,3,2,4
122,Larry Rountree III,LAC,2021,RB,12,36,87,2.4,13,0,1,7.3,0,0,5
123,Matt Ryan,ATL,2021,QB,17,40,82,2.0,17,0,1,4.8,6,1,9
124,Tom Brady,TB,2021,QB,17,28,81,2.9,13,0,2,4.8,1,1,14
125,Ryquell Armstead,JAX,2021,RB,2,15,80,5.3,26,1,0,40.0,0,0,3
126,Jonathan Williams,WSH,2021,RB,5,17,79,4.6,23,1,1,15.8,0,0,7
127,Chris Evans,CIN,2021,RB,14,17,77,4.5,13,0,0,5.5,0,0,3
128,Andy Dalton,CHI,2021,QB,8,16,76,4.8,14,0,0,9.5,0,0,2
129,CeeDee Lamb,DAL,2021,WR,16,9,76,8.4,33,1,0,4.8,0,0,4
130,Rondale Moore,ARI,2021,WR,14,18,76,4.2,26,1,0,5.4,0,0,2
131,Jermar Jefferson,DET,2021,RB,7,15,74,4.9,28,1,2,10.6,0,0,4
132,Jacoby Brissett,MIA,2021,QB,11,19,70,3.7,19,0,1,6.4,2,0,9
133,JaMycal Hasty,SF,2021,RB,11,16,68,4.3,21,1,1,6.2,0,0,6
134,Jake Fromm,NYG,2021,QB,3,8,65,8.1,27,1,0,21.7,0,0,4
