,Name,Team,Season,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
113,Jayden Reed,GB,2023,WR,16,11,119,10.8,32,3,2,7.4,0,0,6
114,CeeDee Lamb,DAL,2023,WR,17,14,113,8.1,24,1,2,6.6,0,0,6
115,Darrell Henderson Jr.,LAR,2023,RB,4,46,112,2.4,16,0,2,28.0,0,0,5
116,KaVontae Turpin,DAL,2023,WR,16,11,110,10.0,46,2,1,6.9,1,0,5
117,Tyson Bagent,CHI,2023,QB,5,23,109,4.7,20,1,2,21.8,1,0,11
118,D'Ernest Johnson,JAX,2023,RB,17,41,108,2.6,19,0,0,6.4,0,0,5
119,Chris Brooks,MIA,2023,RB,9,19,106,5.6,52,2,0,11.8,0,0,2
120,Derius Davis,LAC,2023,WR,17,14,101,7.2,51,1,0,5.9,0,0,5
121,Gardner Minshew,IND,2023,QB,17,34,100,2.9,23,1,3,5.9,2,0,7
122,Mac Jones,NE,2023,QB,11,26,96,3.7,18,0,0,8.7,1,1,11
123,Isaiah Spiller,LAC,2023,RB,9,37,96,2.6,8,0,0,10.7,0,0,1
124,Tony Jones Jr.ARI/,NO,2023,RB,7,26,95,3.7,19,0,2,13.6,0,0,7
125,Damien Harris,BUF,2023,RB,6,23,94,4.1,11,0,1,15.7,0,0,9
126,Ameer Abdullah,LV,2023,RB,17,15,89,5.9,12,0,0,5.2,0,0,6
127,Puka Nacua,LAR,2023,WR,17,12,89,7.4,31,1,0,5.2,0,0,5
128,Joe Burrow,CIN,2023,QB,10,31,88,2.8,20,1,0,8.8,0,0,9
129,Tyler Goodson,IND,2023,RB,6,13,87,6.7,31,1,0,14.5,0,0,4
130,Wan'Dale Robinson,NYG,2023,WR,15,9,87,9.7,32,2,1,5.8,0,0,4
131,Boston Scott,PHI,2023,RB,15,20,86,4.3,18,0,0,5.7,0,0,5
132,Emanuel Wilson,GB,2023,RB,7,14,85,6.1,31,1,0,12.1,1,0,2
133,Bailey Zappe,NE,2023,QB,10,17,83,4.9,18,0,1,8.3,0,0,6
134,Melvin Gordon III,BAL,2023,RB,4,26,81,3.1,22,1,1,20.3,1,1,4
135,La'Mical Perine,KC,2023,RB,5,22,77,3.5,10,0,0,15.4,0,0,3
136,Tre Tucker,LV,2023,WR,16,10,77,7.7,34,1,0,4.8,0,0,4
137,Kalif Raymond,DET,2023,WR,17,7,75,10.7,40,1,0,4.4,0,0,2
138,Ryan Tannehill,TEN,2023,QB,10,17,74,4.4,23,1,1,7.4,2,0,4
139,Ihmir Smith-Marsette,CAR,2023,WR,17,8,74,9.3,20,1,1,4.4,0,0,4
140,Tua Tagovailoa,MIA,2023,QB,17,35,74,2.1,9,0,0,4.4,13,5,5
141,Keaontay Ingram,ARI,2023,RB,8,35,74,2.1,14,0,0,9.3,0,0,4
142,Israel Abanikanda,NYJ,2023,RB,6,22,70,3.2,12,0,0,11.7,0,0,3
143,Trayveon Williams,CIN,2023,RB,17,15,69,4.6,15,0,0,4.1,0,0,2
144,Xavier Gipson,NYJ,2023,WR,17,8,68,8.5,18,0,1,4.0,1,0,4
145,Matthew Stafford,LAR,2023,QB,15,21,65,3.1,9,0,0,4.3,0,0,4
146,Dorian Thompson-Robinson,CLE,2023,QB,8,14,65,4.6,12,0,0,8.1,1,0,4
147,Kevin Harris,NE,2023,RB,4,16,65,4.1,18,0,1,16.3,0,0,2
148,Salvon Ahmed,MIA,2023,RB,8,22,61,2.8,10,0,1,7.6,0,0,3
149,Jerick McKinnon,KC,2023,RB,12,21,60,2.9,10,0,1,5.0,0,0,7
150,Calvin Austin III,PIT,2023,WR,17,11,57,5.2,12,0,1,3.4,0,0,4
151,Will Levis,TEN,2023,QB,9,25,57,2.3,11,0,1,6.3,2,2,7
152,Carson Wentz,LAR,2023,QB,2,17,56,3.3,12,0,1,28.0,0,0,4
153,Deven Thompkins,TB,2023,WR,17,8,56,7.0,17,0,0,3.3,0,0,4
154,Zay Flowers,BAL,2023,WR,16,8,56,7.0,37,1,1,3.5,0,0,1
155,Tyler Huntley,BAL,2023,QB,5,15,55,3.7,11,0,0,11.0,0,0,3
156,Laviska Shenault Jr.,CAR,2023,WR,8,12,55,4.6,11,0,0,6.9,0,0,3
157,Mitchell Trubisky,PIT,2023,QB,5,16,54,3.4,15,0,2,10.8,1,1,6
158,Kenny Pickett,PIT,2023,QB,12,42,54,1.3,11,0,1,4.5,2,0,12
159,Marcus Mariota,PHI,2023,QB,3,8,52,6.5,17,0,0,17.3,0,0,6
160,Velus Jones Jr.,CHI,2023,WR,14,8,51,6.4,17,0,0,3.6,0,0,4
161,Tyquan Thornton,NE,2023,WR,9,3,51,17.0,39,1,0,5.7,0,0,1
162,Tank Dell,HOU,2023,WR,11,11,51,4.6,13,0,0,4.6,0,0,3
163,Xavier Hutchinson,HOU,2023,WR,16,5,49,9.8,17,0,0,3.1,0,0,3
164,Eric Gray,NYG,2023,RB,13,17,48,2.8,12,0,0,3.7,1,0,2
165,Raheem Blackshear,CAR,2023,RB,12,14,46,3.3,9,0,0,3.8,0,0,1
166,Blaine Gabbert,KC,2023,QB,2,7,45,6.4,25,1,0,22.5,0,0,2
167,Damien Williams,DAL,2023,RB,3,11,43,3.9,9,0,0,14.3,0,0,1
168,Ke'Shawn Vaughn,TB,2023,RB,6,24,42,1.8,9,0,0,7.0,0,0,0
169,DeMario Douglas,NE,2023,WR,14,8,41,5.1,20,1,0,2.9,0,0,2
170,Tyler Scott,CHI,2023,WR,17,7,41,5.9,16,0,0,2.4,0,0,2
171,Derek Carr,NO,2023,QB,17,32,40,1.3,10,0,0,2.4,2,1,4
172,Trevor Siemian,NYJ,2023,QB,5,11,40,3.6,13,0,0,8.0,1,1,5
173,Leonard Fournette,BUF,2023,RB,2,12,40,3.3,9,0,0,20.0,0,0,2
174,Deuce Vaughn,DAL,2023,RB,7,23,40,1.7,13,0,0,5.7,0,0,1
175,Jimmy Garoppolo,LV,2023,QB,7,20,39,2.0,9,0,0,5.6,1,0,6
176,Chris Moore,TEN,2023,WR,17,2,39,19.5,38,1,0,2.3,0,0,1
177,Curtis Samuel,WSH,2023,WR,16,7,39,5.6,15,0,1,2.4,0,0,4
178,Chris Godwin,TB,2023,WR,17,4,38,9.5,19,0,1,2.2,0,0,3
179,Rashid Shaheed,NO,2023,WR,15,7,37,5.3,12,0,0,2.5,0,0,1
180,DeeJay Dallas,SEA,2023,RB,17,10,36,3.6,8,0,0,2.1,0,0,2
181,Brandin Cooks,DAL,2023,WR,16,5,35,7.0,14,0,0,2.2,0,0,1
182,C.J. Beathard,JAX,2023,QB,7,8,35,4.4,19,0,0,5.0,1,0,2
183,Dare Ogunbowale,HOU,2023,RB,12,8,35,4.4,17,0,0,2.9,0,0,2
184,Marquise Goodwin,CLE,2023,WR,12,4,33,8.3,20,1,0,2.8,0,0,2
185,Jeff Driskel,CLE,2023,QB,1,7,33,4.7,13,0,0,33.0,0,0,4
186,Rashaad Penny,PHI,2023,RB,3,11,33,3.0,7,0,0,11.0,0,0,1
187,Lynn Bowden Jr.,NO,2023,WR,15,5,32,6.4,29,1,0,2.1,1,0,3
188,Brandon Bolden,LV,2023,RB,17,4,31,7.8,26,1,1,1.8,0,0,2
189,Kadarius Toney,KC,2023,WR,13,11,31,2.8,14,0,0,2.4,0,0,2
190,Tutu Atwell,LAR,2023,WR,16,5,31,6.2,22,1,0,1.9,0,0,2
191,PJ Walker,CLE,2023,QB,6,13,30,2.3,9,0,0,5.0,1,0,3
192,Ray-Ray McCloud II,ISF,2023,WR,12,3,30,10.0,15,0,0,2.5,0,0,2
193,Clayton Tune,ARI,2023,QB,7,8,30,3.8,11,0,1,4.3,1,0,3
194,Marvin Mims Jr.,DEN,2023,WR,16,9,30,3.3,11,0,0,1.9,0,0,2
195,Jameson Williams,DET,2023,WR,12,3,29,9.7,19,0,1,2.4,0,0,1
196,Khari Blasingame,CHI,2023,FB,16,8,26,3.3,6,0,0,1.6,0,0,0
197,Derrick Gore,WSH,2023,RB,6,3,26,8.7,23,1,0,4.3,0,0,1
198,Kirk Cousins,MIN,2023,QB,8,14,25,1.8,10,0,0,3.1,3,1,6
199,Nick Mullens,MIN,2023,QB,5,10,25,2.5,6,0,0,5.0,0,0,4
200,Jakobi Meyers,LV,2023,WR,16,4,24,6.0,17,0,2,1.5,0,0,3
201,Amon-Ra St. Brown,DET,2023,WR,16,4,24,6.0,11,0,0,1.5,0,0,2
202,Demarcus Robinson,LAR,2023,WR,16,1,23,23.0,23,1,0,1.4,0,0,1
203,Mike Boone,HOU,2023,RB,9,5,23,4.6,11,0,0,2.6,1,0,2
204,Calvin Ridley,JAX,2023,WR,17,9,23,2.6,18,0,0,1.4,0,0,3
205,Marquise Brown,ARI,2023,WR,14,2,23,11.5,29,1,0,1.6,0,0,1
206,Skyy Moore,KC,2023,WR,14,3,23,7.7,11,0,0,1.6,0,0,1
207,Sean Tucker,TB,2023,RB,11,15,23,1.5,7,0,0,2.1,0,0,1
208,J.K. Dobbins,BAL,2023,RB,1,8,22,2.8,4,0,1,22.0,0,0,1
209,Erik Ezukanma,MIA,2023,WR,2,5,22,4.4,12,0,0,11.0,0,0,1
210,Trey Palmer,TB,2023,WR,17,3,22,7.3,13,0,0,1.3,0,0,1
211,Jared Goff,DET,2023,QB,17,32,21,0.7,11,0,2,1.2,2,2,5
212,DJ Moore,CHI,2023,WR,17,4,21,5.3,16,0,1,1.2,0,0,1
213,Malik Willis,TEN,2023,QB,3,5,21,4.2,11,0,0,7.0,1,1,1
214,Bo Melton,GB,2023,WR,5,3,21,7.0,12,0,0,4.2,0,0,2
215,Tyrion Davis-Price,SF,2023,RB,1,6,21,3.5,15,0,0,21.0,0,0,1
216,Jacoby Brissett,WSH,2023,QB,3,3,19,6.3,10,0,0,6.3,0,0,0
217,Brett Rypien,LAR,2023,QB,2,3,19,6.3,8,0,0,9.5,2,1,1
218,Gary Brightwell,NYG,2023,RB,7,9,19,2.1,5,0,0,2.7,0,0,0
219,Hunter Luepke,DAL,2023,RB,17,6,19,3.2,9,0,1,1.1,0,0,5
220,Zach Evans,LAR,2023,RB,10,9,19,2.1,5,0,0,1.9,0,0,0
221,DeAndre Carter,LV,2023,WR,17,3,18,6.0,15,0,0,1.1,0,0,2
222,Rashod Bateman,BAL,2023,WR,16,1,18,18.0,18,0,0,1.1,0,0,1
223,George Pickens,PIT,2023,WR,17,3,18,6.0,16,0,0,1.1,0,0,2
224,Treylon Burks,TEN,2023,WR,11,5,18,3.6,9,0,0,1.6,0,0,0
225,Brandon Powell,MIN,2023,WR,17,5,17,3.4,9,0,0,1.0,0,0,1
226,Jalen Reagor,NE,2023,WR,11,1,17,17.0,17,0,0,1.5,0,0,1
227,Deon JacksonIND/CLE/,NYG,2023,RB,4,14,16,1.1,7,0,0,4.0,1,1,1
228,Tyreek Hill,MIA,2023,WR,16,6,15,2.5,14,0,0,0.9,0,0,2
229,Sam Darnold,SF,2023,QB,10,21,15,0.7,9,0,1,1.5,1,0,3
230,Devin Duvernay,BAL,2023,WR,13,4,15,3.8,8,0,0,1.2,0,0,0
231,Isaiah McKenzie,IND,2023,WR,13,3,14,4.7,7,0,0,1.1,0,0,0
232,Drew Lock,SEA,2023,QB,4,5,14,2.8,11,0,0,3.5,0,0,1
233,Jaren Hall,MIN,2023,QB,3,6,14,2.3,8,0,0,4.7,0,0,0
234,Kene Nwangwu,MIN,2023,RB,9,5,13,2.6,8,0,0,1.4,0,0,0
235,Charlie Jones,CIN,2023,WR,11,2,13,6.5,7,0,0,1.2,0,0,1
236,Zonovan Knight,DET,2023,RB,2,3,13,4.3,8,0,0,6.5,0,0,0
237,Andy Dalton,CAR,2023,QB,3,3,12,4.0,10,0,0,4.0,0,0,2
238,Adam Prentice,NO,2023,FB,13,2,12,6.0,7,0,0,0.9,1,1,1
239,Chris Evans,CIN,2023,RB,8,2,12,6.0,7,0,0,1.5,0,0,0
240,Jaylen Waddle,MIA,2023,WR,14,3,12,4.0,12,0,0,0.9,0,0,1
241,Tyler Boyd,CIN,2023,WR,17,2,11,5.5,6,0,0,0.6,0,0,1
242,Braxton Berrios,MIA,2023,WR,16,1,11,11.0,11,0,0,0.7,0,0,1
243,Jonathan Ward,TEN,2023,RB,8,3,11,3.7,8,0,0,1.4,0,0,1
244,Christian Watson,GB,2023,WR,9,4,11,2.8,13,0,0,1.2,0,0,1
245,Keisean Nixon,GB,2023,CB,17,1,11,11.0,11,0,0,0.6,0,0,1
246,Aidan O'Connell,LV,2023,QB,11,17,11,0.6,3,0,1,1.0,1,0,7
247,Elijah Moore,CLE,2023,WR,17,9,11,1.2,19,0,0,0.6,1,1,2
248,Gerald Everett,LAC,2023,TE,15,3,10,3.3,6,0,0,0.7,0,0,0
249,Jake Funk,IND,2023,RB,4,2,10,5.0,7,0,0,2.5,0,0,0
250,Blake Gillikin,ARI,2023,P,13,1,10,10.0,10,0,0,0.8,0,0,1
251,Khalil Shakir,BUF,2023,WR,17,1,10,10.0,10,0,0,0.6,0,0,1
252,DeAndre Hopkins,TEN,2023,WR,17,2,9,4.5,5,0,0,0.5,0,0,0
253,Michael Burton,DEN,2023,FB,17,7,9,1.3,4,0,0,0.5,0,0,4
254,Ty Montgomery I,INE,2023,WR,13,3,9,3.0,7,0,0,0.7,0,0,0
255,Ben Skowronek,LAR,2023,WR,17,2,9,4.5,11,0,0,0.5,0,0,1
256,Davis Mills,HOU,2023,QB,6,2,9,4.5,9,0,0,1.5,0,0,0
257,Quentin Johnston,LAC,2023,WR,17,3,9,3.0,6,0,0,0.5,0,0,0
258,Mason Rudolph,PIT,2023,QB,4,10,8,0.8,7,0,0,2.0,1,0,4
259,Jarrett Stidham,DEN,2023,QB,3,9,8,0.9,4,0,0,2.7,1,0,1
260,Harrison Bryant,CLE,2023,TE,17,5,8,1.6,2,0,0,0.5,1,1,4
261,Cedric Tillman,CLE,2023,WR,14,1,8,8.0,8,0,0,0.6,0,0,0
262,Robert Woods,HOU,2023,WR,14,1,7,7.0,7,0,0,0.5,0,0,0
263,C.J. Ham,MIN,2023,FB,17,1,7,7.0,7,0,0,0.4,0,0,0
264,Nico Collins,HOU,2023,WR,15,1,7,7.0,7,0,0,0.5,0,0,0
265,Keenan Allen,LAC,2023,WR,13,2,6,3.0,4,0,0,0.5,0,0,1
266,Kyle Juszczyk,SF,2023,FB,17,5,6,1.2,3,0,0,0.4,0,0,2
267,Adam Thielen,CAR,2023,WR,17,1,6,6.0,6,0,0,0.4,0,0,0
268,Sterling Shepard,NYG,2023,WR,15,1,6,6.0,6,0,0,0.4,0,0,0
269,Logan Woodside,ATL,2023,QB,1,1,6,6.0,6,0,0,6.0,0,0,0
270,Christian Kirk,JAX,2023,WR,12,1,6,6.0,6,0,0,0.5,0,0,0
271,Joshua Palmer,LAC,2023,WR,11,1,6,6.0,6,0,0,0.5,0,0,0
272,Elijah Dotson,LAC,2023,RB,4,4,6,1.5,2,0,0,1.5,0,0,0
273,Chigoziem Okonkwo,TEN,2023,TE,17,2,6,3.0,4,0,0,0.4,0,0,1
274,Stefon Diggs,BUF,2023,WR,17,1,5,5.0,5,0,0,0.3,0,0,1
275,Tim Boyle,NYJ,2023,QB,3,4,5,1.3,2,0,0,1.7,1,0,3
276,Devine Ozigbo,DET,2023,RB,3,3,5,1.7,4,0,0,1.7,0,0,1
277,Greg Dortch,ARI,2023,WR,16,1,5,5.0,5,0,0,0.3,0,0,0
278,Darnell Mooney,CHI,2023,WR,15,2,5,2.5,3,0,0,0.3,0,0,0
279,Dee Eskridge,SEA,2023,WR,4,2,5,2.5,10,0,0,1.3,0,0,1
280,Kendrick Bourne,NE,2023,WR,8,1,4,4.0,4,0,0,0.5,0,0,1
281,Nick Bawden,NYJ,2023,FB,16,2,4,2.0,3,0,1,0.3,0,0,1
282,Van JeffersonATL/,LAR,2023,WR,17,1,4,4.0,4,0,0,0.2,0,0,0
283,Sam LaPorta,DET,2023,TE,17,1,4,4.0,4,0,0,0.2,0,0,0
284,John Metchie III,HOU,2023,WR,16,1,4,4.0,4,0,0,0.3,0,0,0
285,Jalen Reeves-Maybin,DET,2023,LB,17,2,3,1.5,3,0,0,0.2,0,0,1
286,Mike Williams,LAC,2023,WR,3,1,3,3.0,3,0,0,1.0,0,0,0
287,Andrew Beck,HOU,2023,FB,15,5,3,0.6,2,0,1,0.2,0,0,2
288,Ashtyn Davis,NYJ,2023,S,17,2,3,1.5,4,0,0,0.2,0,0,1
289,Mecole HardmanKC/,NYJ,2023,WR,11,1,3,3.0,3,0,0,0.3,0,0,0
290,Jake Bobo,SEA,2023,WR,17,1,3,3.0,3,0,1,0.2,0,0,1
291,Joe Flacco,CLE,2023,QB,5,9,2,0.2,3,0,0,0.4,1,0,3
292,Logan Thomas,WSH,2023,TE,16,1,2,2.0,2,0,0,0.1,0,0,1
293,George Kittle,SF,2023,TE,16,1,2,2.0,2,0,0,0.1,0,0,1
294,Ezekiel Turner,ARI,2023,LB,16,1,2,2.0,2,0,0,0.1,0,0,1
295,Amani Hooker,TEN,2023,S,13,1,2,2.0,2,0,0,0.2,0,0,1
296,Kylen Granson,IND,2023,TE,15,1,2,2.0,2,0,0,0.1,0,0,1
297,James Robinson,GB,2023,RB,1,1,2,2.0,2,0,0,2.0,0,0,0
298,Cole Kmet,CHI,2023,TE,17,3,2,0.7,1,0,0,0.1,0,0,2
299,Jordan Addison,MIN,2023,WR,17,1,2,2.0,2,0,0,0.1,0,0,0
300,Case Keenum,HOU,2023,QB,2,2,1,0.5,1,0,0,0.5,1,0,0
301,Dallas Goedert,PHI,2023,TE,14,1,1,1.0,1,0,0,0.1,0,0,0
302,Steven Sims,HOU,2023,WR,3,1,1,1.0,1,0,0,0.3,0,0,0
303,Noah Gray,KC,2023,TE,17,1,1,1.0,1,0,0,0.1,0,0,0
304,Jashaun Corbin,NYG,2023,RB,6,1,1,1.0,1,0,0,0.2,0,0,1
305,Dontayvion Wicks,GB,2023,WR,15,1,1,1.0,1,0,0,0.1,0,0,0
306,Evan Hull,IND,2023,RB,1,1,1,1.0,1,0,0,1.0,0,0,0
307,Tress Way,WSH,2023,P,17,1,0,0.0,0,0,0,0.0,0,0,0
308,Kenyan Drake,GB,2023,RB,3,2,0,0.0,0,0,0,0.0,0,0,0
309,KhaDarel Hodge,ATL,2023,WR,17,1,0,0.0,0,0,0,0.0,1,0,0
310,Jonnu Smith,ATL,2023,TE,17,1,0,0.0,0,0,0,0.0,0,0,0
311,Jason Cabinda,DET,2023,FB,4,1,0,0.0,0,0,0,0.0,0,0,0
312,Mark Andrews,BAL,2023,TE,10,1,0,0.0,0,0,0,0.0,0,0,0
313,Tyler Conklin,NYJ,2023,TE,17,1,0,0.0,0,0,0,0.0,0,0,0
314,Alec Ingold,MIA,2023,FB,17,2,0,0.0,0,0,0,0.0,0,0,0
315,Nick Niemann,LAC,2023,LB,17,1,0,0.0,0,0,0,0.0,1,0,0
316,Connor Heyward,PIT,2023,TE,17,1,0,0.0,0,0,0,0.0,0,0,0
317,Peyton Hendershot,DAL,2023,TE,8,1,0,0.0,0,0,0,0.0,0,0,0
318,Dyami Brown,WSH,2023,WR,17,1,0,0.0,0,0,0,0.0,0,0,0
319,Deonte Harty,BUF,2023,WR,16,4,0,0.0,4,0,0,0.0,0,0,0
320,Rakim Jarrett,TB,2023,WR,10,1,0,0.0,0,0,0,0.0,0,0,0
321,Ty ZentnerHOU/,TEN,2023,P,9,1,0,0.0,0,0,0,0.0,1,0,0
322,Garrett Wilson,NYJ,2023,WR,17,4,0,0.0,6,0,0,0.0,0,0,1
323,Noah Brown,HOU,2023,WR,10,1,-1,-1.0,-1,0,0,-0.1,0,0,0
324,Kyle Trask,TB,2023,QB,2,1,-1,-1.0,-1,0,0,-0.5,0,0,0
325,Teddy Bridgewater,DET,2023,QB,1,2,-2,-1.0,-1,0,0,-2.0,0,0,0
326,Jonathan Williams,WSH,2023,RB,1,1,-2,-2.0,-2,0,0,-2.0,0,0,0
327,Trent Taylor,CHI,2023,WR,17,1,-2,-2.0,-2,0,0,-0.1,0,0,0
328,Jamal Agnew,JAX,2023,WR,11,4,-2,-0.5,1,0,0,-0.2,0,0,0
329,Gabe Davis,BUF,2023,WR,17,1,-2,-2.0,-2,0,0,-0.1,0,0,0
330,Sean Clifford,GB,2023,QB,2,3,-2,-0.7,0,0,0,-1.0,1,0,0
331,Brian Hoyer,LV,2023,QB,3,3,-3,-1.0,-1,0,0,-1.0,0,0,0
332,Matt Barkley,JAX,2023,QB,1,3,-3,-1.0,-1,0,0,-3.0,0,0,0
333,Cooper Kupp,LAR,2023,WR,12,1,-3,-3.0,-3,0,0,-0.3,0,0,0
334,Rashee Rice,KC,2023,WR,16,1,-3,-3.0,-3,0,0,-0.2,0,0,0
335,Nathan Peterman,CHI,2023,QB,2,2,-4,-2.0,-2,0,0,-2.0,0,0,0
336,Kyle Pitts,ATL,2023,TE,17,1,-4,-4.0,-4,0,0,-0.2,0,0,0
337,Cooper Rush,DAL,2023,QB,7,12,-5,-0.4,6,0,0,-0.7,0,0,1
338,Jameis Winston,NO,2023,QB,7,5,-6,-1.2,-1,0,0,-0.9,0,0,0
339,Ja'Marr Chase,CIN,2023,WR,16,3,-6,-2.0,2,0,0,-0.4,0,0,0
340,Mike White,MIA,2023,QB,6,8,-9,-1.1,0,0,0,-1.5,1,1,0
341,Johnny Hekker,CAR,2023,P,17,1,-11,-11.0,-11,0,0,-0.6,1,1,0
342,Ryan Stonehouse,TEN,2023,P,12,1,-11,-11.0,-11,0,0,-0.9,1,1,0
343,Justin Jefferson,MIN,2023,WR,10,1,-12,-12.0,-12,0,0,-1.2,0,0,0
344,Kyle Allen,BUF,2023,QB,7,13,-13,-1.0,0,0,0,-1.9,0,0,0
345,Cameron Johnston,HOU,2023,P,13,1,-23,-23.0,-23,0,0,-1.8,0,0,0
0,Josh Jacobs,LV,2022,RB,17,340,1653,4.9,86,7,12,97.2,2,0,93
1,Derrick Henry,TEN,2022,RB,16,349,1538,4.4,56,10,13,96.1,4,2,65
2,Nick Chubb,CLE,2022,RB,17,302,1525,5.1,41,13,12,89.7,1,1,69
3,Saquon Barkley,NYG,2022,RB,16,295,1312,4.4,68,9,10,82.0,1,0,62
4,Miles Sanders,PHI,2022,RB,17,259,1269,4.9,40,9,11,74.6,1,1,62
5,Dalvin Cook,MIN,2022,RB,17,264,1173,4.4,81,5,8,69.0,3,3,50
6,Justin Fields,CHI,2022,QB,15,160,1143,7.1,67,10,8,76.2,9,0,65
7,Christian McCaffreySF/,CAR,2022,RB,17,244,1139,4.7,49,9,8,67.0,1,0,59
8,Travis Etienne Jr.,JAX,2022,RB,17,220,1125,5.1,62,8,5,66.2,3,3,52
9,Aaron Jones,GB,2022,RB,17,213,1121,5.3,36,6,2,65.9,3,1,54
10,Jamaal Williams,DET,2022,RB,17,262,1066,4.1,58,4,17,62.7,3,2,65
11,Kenneth Walker III,SEA,2022,RB,15,228,1050,4.6,74,10,9,70.0,0,0,51
12,Rhamondre Stevenson,NE,2022,RB,17,210,1040,5.0,49,7,5,61.2,2,1,49
13,Tyler Allgeier,ATL,2022,RB,16,210,1035,4.9,44,6,3,64.7,0,0,53
14,Najee Harris,PIT,2022,RB,17,272,1034,3.8,36,1,7,60.8,2,1,45
15,Tony Pollard,DAL,2022,RB,16,193,1007,5.2,57,9,9,62.9,0,0,46
16,Dameon Pierce,HOU,2022,RB,13,220,939,4.3,75,7,4,72.2,4,2,54
17,Austin Ekeler,LAC,2022,RB,17,204,915,4.5,72,4,13,53.8,3,2,46
18,D'Onta Foreman,CAR,2022,RB,17,203,914,4.5,60,8,5,53.8,1,0,45
19,Alvin Kamara,NO,2022,RB,15,223,897,4.0,27,3,2,59.8,2,2,40
20,Raheem Mostert,MIA,2022,RB,16,181,891,4.9,67,6,3,55.7,1,1,44
21,Ezekiel Elliott,DAL,2022,RB,15,231,876,3.8,27,5,12,58.4,0,0,52
22,Jonathan Taylor,IND,2022,RB,11,192,861,4.5,66,5,4,78.3,3,3,39
23,Jeff Wilson Jr.SF/,MIA,2022,RB,16,176,860,4.9,41,7,5,53.8,2,1,44
24,Isiah Pacheco,KC,2022,RB,17,170,830,4.9,31,3,5,48.8,3,2,37
25,Devin Singletary,BUF,2022,RB,16,177,819,4.6,33,5,5,51.2,3,3,42
26,Joe Mixon,CIN,2022,RB,14,210,814,3.9,40,4,7,58.1,0,0,47
27,David Montgomery,CHI,2022,RB,16,201,801,4.0,28,2,5,50.1,1,1,41
28,Brian Robinson Jr.,WSH,2022,RB,12,205,797,3.9,24,2,2,66.4,2,0,49
