,Player,Season,Team,Pos,Total Tackles,Solo Tackles,Assisted Tackles,Sacks,Sack Yards,Passes Defended,Interceptions Caught,Interception Yards,Interceptions Returned for Tds,Forced Fumbles,Fumbles Recovered,Fumbles Recovered For Tds,Fumbles Recovered For a Turnover
677,Taylor Rapp,2021,LAR,DB,,,34.0,,,,,,,,,,
678,Taylor Rapp,2021,LAR,DB,,58.0,,,,,,,,,,,
679,Taylor Rapp,2021,LAR,DB,92.0,,,,,,,,,,,,
680,Devin McCourty,2021,NE,DB,,,,,,,,66.0,,,,,
681,Devin McCourty,2021,NE,DB,,,,,,,4.0,,,,,,
682,Devin McCourty,2021,NE,DB,,,,,,8.0,,,,,,,
683,Jack Jones,2021,NE,DB,,,,,,,,,1.0,,,,
684,Jack Jones,2021,NE,DB,,,,,,,,40.0,,,,,
685,Jack Jones,2021,NE,DB,,,,,,,2.0,,,,,,
686,Jonathan Jones,2021,NE,DB,,,,,,,,,,3.0,,,
687,Jonathan Jones,2021,NE,DB,,,,,,,,,1.0,,,,
688,Jonathan Jones,2021,NE,DB,,,,,,,,89.0,,,,,
689,Jonathan Jones,2021,NE,DB,,,,,,,4.0,,,,,,
690,Jonathan Jones,2021,NE,DB,,,,,,11.0,,,,,,,
691,Kyle Dugger,2021,NE,DB,,,,,,,,,,,,1.0,
692,Kyle Dugger,2021,NE,DB,,,,,,,,,2.0,,,,
693,Kyle Dugger,2021,NE,DB,,,,,,,,55.0,,,,,
694,Kyle Dugger,2021,NE,DB,,,,,,,3.0,,,,,,
695,Kyle Dugger,2021,NE,DB,,,,,,8.0,,,,,,,
696,Marcus Jones,2021,NE,DB,,,,,,,,,,,1.0,,
697,Marcus Jones,2021,NE,DB,,,,,,,,,1.0,,,,
698,Marcus Jones,2021,NE,DB,,,,,,,,87.0,,,,,
699,Marcus Jones,2021,NE,DB,,,,,,,2.0,,,,,,
700,Tae Hayes,2021,NE,DB,,,,,,,,,0.0,,,,
701,Fabian Moreau,2021,NYG,DB,,,,,,10.0,,,,,,,
702,Deommodore Lenoir,2021,SF,DB,,,,,,,,20.0,,,,,
703,Deommodore Lenoir,2021,SF,DB,,,,,,,3.0,,,,,,
704,Deommodore Lenoir,2021,SF,DB,,,,,,7.0,,,,,,,
705,Deommodore Lenoir,2021,SF,DB,,68.0,,,,,,,,,,,
706,Deommodore Lenoir,2021,SF,DB,94.0,,,,,,,,,,,,
707,Jimmie Ward,2021,SF,DB,,,,,,,3.0,,,,,,
708,Jimmie Ward,2021,SF,DB,,,,,,8.0,,,,,,,
709,Amani Hooker,2021,TEN,DB,,,,,,,,,,,1.0,,
710,Andrew Adams,2021,TEN,DB,,,,,,,,,1.0,,,,
711,Andrew Adams,2021,TEN,DB,,,,,,,,76.0,,,,,
712,Joshua Kalu,2021,TEN,DB,,,,,,,,,,,,0.0,
713,Brandon Stephens,2022,BAL,DB,,64.0,,,,11.0,2.0,56.0,,,,,
714,Eddie Jackson,2022,CHI,DB,,,,,,,,27.0,,,,,
715,Jaquan Brisker,2022,CHI,DB,105.0,66.0,39.0,,,9.0,,,,2.0,1.0,,
716,Jaylon Johnson,2022,CHI,DB,,,,,,10.0,4.0,65.0,1.0,,,,
717,Kyler Gordon,2022,CHI,DB,,,,,,,2.0,,,,,,
718,Tyrique Stevenson,2022,CHI,DB,,63.0,,,,16.0,4.0,46.0,,2.0,,,
719,Brian Branch,2022,DET,DB,94.0,64.0,30.0,,,14.0,3.0,63.0,1.0,,,,
720,C.J. Gardner-Johnson,2022,DET,DB,,,,,,,2.0,,,,,,
721,Chris Lammons,2022,IND,DB,,,,,,,,,,,,0.0,
722,Deon Bush,2022,KC,DB,,,,,,,,,0.0,,,,
723,Ja'Sir Taylor,2022,LAC,DB,,,,,,8.0,,,,,,,
724,Mark Webb Jr.,2022,LAC,DB,,,,,,,,,,,,0.0,
725,Derion Kendrick,2022,LAR,DB,,,,,,10.0,,,,,,,
726,Duke Shelley,2022,LAR,DB,,,,,,,,,,,,0.0,
727,John Johnson III,2022,LAR,DB,,,,,,,2.0,44.0,,,,,
728,Jordan Fuller,2022,LAR,DB,93.0,60.0,33.0,,,8.0,3.0,39.0,,3.0,,,
729,Richard LeCounte III,2022,LAR,DB,,,,,,,,,0.0,,,,
730,Cody Davis,2022,NE,DB,,,,,,,,,0.0,,,1.0,
731,J.C. Jackson,2022,NE,DB,,,,,,9.0,,,,,,,
732,Kyle Dugger,2022,NE,DB,107.0,70.0,37.0,,,,2.0,35.0,,,,,
733,Myles Bryant,2022,NE,DB,,65.0,,,,,,,,2.0,,,
734,Troy Pride Jr.,2022,NO,DB,,,,,,,,,,,,0.0,
735,Cor'Dale Flott,2022,NYG,DB,,,,,,,,21.0,,,,,
736,Deommodore Lenoir,2022,SF,DB,102.0,68.0,34.0,,,10.0,3.0,49.0,,,,,
737,Dee Delaney,2022,TB,DB,,,,,,,2.0,,,,,,
738,Amani Hooker,2022,TEN,DB,,65.0,,,,,,,,,,,
739,Jartavius Martin,2022,WSH,DB,,,,,,,2.0,,,,,,
740,Michael Dogbe,2020,ARI,DE,,,,,,,,,,,,,1.0
741,Calais Campbell,2020,BAL,DE,,,,,,,,,,,,,1.0
742,Trey Flowers,2020,DET,DE,,,,,,,,,,,,,1.0
743,Kemoko Turay,2020,IND,DE,,,,,,,,,,,,,1.0
744,Marcus Davenport,2020,NO,DE,,,,,,,,,,,,,1.0
745,Henry Mondeaux,2020,PIT,DE,,,,,,,,,,,,,1.0
746,Tarell Basham,2020,,DE,,,,,,,,,,,,,1.0
747,Arden Key,2021,JAX,DE,,,,,,,,,,,,,1.0
748,Maxx Crosby,2021,LV,DE,,,,,,,,,,,,,1.0
749,Carl Granderson,2021,NO,DE,,,,,,,,,,,,,1.0
750,Jadeveon Clowney,2022,BAL,DE,,,,10.5,60.0,,,,,2.0,,,1.0
751,Casey Toohill,2022,WSH,DE,,,,5.0,,,,,,,1.0,,1.0
752,Sam Hubbard,2020,CIN,DE,,,,,,,,,,,,,2.0
753,Kwity Paye,2020,IND,DE,,,,,,,,,,,,,2.0
754,Kerry Hyder Jr.,2020,SEA,DE,,,,,,,,,,,,,2.0
755,Joseph Ossai,2021,CIN,DE,,,,,,,,,,,,,2.0
756,Sam Hubbard,2021,CIN,DE,,,,,,,,,,,,,2.0
757,George Karlaftis,2021,KC,DE,,,,,,,,,,,,,2.0
758,Casey Toohill,2021,WSH,DE,,,,,,,,,,,,,2.0
759,Dorance Armstrong,2021,,DE,,,,,,,,,,,,,2.0
760,Broderick Washington,2022,BAL,DE,,,,,,,,,,,2.0,,2.0
761,Sam Hubbard,2022,CIN,DE,,,,6.0,38.0,,,,,,2.0,,2.0
762,Dayo Odeyingbo,2022,IND,DE,,,,8.0,53.0,,,,,2.0,2.0,,2.0
763,Kwity Paye,2022,IND,DE,,,,8.5,40.0,,,,0.0,2.0,2.0,,2.0
764,George Karlaftis,2022,KC,DE,,,,13.5,71.0,,,,,,2.0,,2.0
765,Zach Allen,2020,ARI,DE,,,,,,,,,,,,,3.0
766,Yetur Gross-Matos,2021,CAR,DE,,,,,,,,,,,,,3.0
767,Chandler Jones,2021,LV,DE,,,,,,,,,,,,,3.0
768,Sam Williams,2021,,DE,,,,,,,,,,,,,3.0
769,Zach Allen,2020,ARI,DE,,,,,,,,,,,,1.0,
770,Zach Allen,2020,ARI,DE,,,,,,,,,,,3.0,,
771,Zach Allen,2020,ARI,DE,,,,,,,,25.0,,,,,
772,Zach Allen,2020,ARI,DE,,,,4.0,,,,,,,,,
773,Calais Campbell,2020,BAL,DE,,,,,,,,,,,1.0,,
774,Justin Houston,2020,BAL,DE,,,,4.5,,,,,,,,,
775,Boogie Basham,2020,BUF,DE,,,,,28.0,,,,,,,,
776,Greg Rousseau,2020,BUF,DE,,,,,,,,,,1.0,,,
777,Greg Rousseau,2020,BUF,DE,,,,4.0,,,,,,,,,
778,Jerry Hughes,2020,BUF,DE,,,,,,,,,,2.0,,,
779,Mario Addison,2020,BUF,DE,,,,,,,,,,2.0,,,
780,Mario Addison,2020,BUF,DE,,,,,44.0,,,,,,,,
781,Mario Addison,2020,BUF,DE,,,,7.0,,,,,,,,,
782,Brian Burns,2020,CAR,DE,,,,,,,,,,2.0,,,
783,Brian Burns,2020,CAR,DE,,,,,78.0,,,,,,,,
784,Brian Burns,2020,CAR,DE,,,,9.0,,,,,,,,,
785,Marquis Haynes Sr.,2020,CAR,DE,,,,,29.0,,,,,,,,
786,Yetur Gross-Matos,2020,CAR,DE,,,,,,,,,,,,0.0,
787,Yetur Gross-Matos,2020,CAR,DE,,,,,,,,,0.0,,,,
788,Khalid Kareem,2020,CIN,DE,,,,,,,,,,,,0.0,
789,Khalid Kareem,2020,CIN,DE,,,,,,,,,,1.0,,,
790,Sam Hubbard,2020,CIN,DE,,,,,,,,,,,2.0,,
791,Sam Hubbard,2020,CIN,DE,,,,,,,,,,2.0,,,
792,Sam Hubbard,2020,CIN,DE,,,,,61.0,,,,,,,,
793,Sam Hubbard,2020,CIN,DE,,,,10.5,,,,,,,,,
794,Sam Hubbard,2020,CIN,DE,,,38.0,,,,,,,,,,
795,Sam Hubbard,2020,CIN,DE,84.0,,,,,,,,,,,,
796,Trey Hendrickson,2020,CIN,DE,,,,,,,,,,4.0,,,
797,Trey Hendrickson,2020,CIN,DE,,,,,130.0,,,,,,,,
798,Trey Hendrickson,2020,CIN,DE,,,,17.5,,,,,,,,,
799,Jadeveon Clowney,2020,CLE,DE,,,,,,,,,,2.0,,,
800,Jadeveon Clowney,2020,CLE,DE,,,,,84.0,,,,,,,,
801,Jadeveon Clowney,2020,CLE,DE,,,,9.0,,,,,,,,,
802,Myles Garrett,2020,CLE,DE,,,,,,,,,,,,1.0,
803,Myles Garrett,2020,CLE,DE,,,,,92.0,,,,,,,,
804,Myles Garrett,2020,CLE,DE,,,,16.0,,,,,,,,,
805,Dre'Mont Jones,2020,DEN,DE,,,,,38.0,,,,,,,,
806,Dre'Mont Jones,2020,DEN,DE,,,,5.5,,,,,,,,,
807,Shelby Harris,2020,DEN,DE,,,,,44.0,,,,,,,,
808,Shelby Harris,2020,DEN,DE,,,,6.0,,,,,,,,,
809,Austin Bryant,2020,DET,DE,,,,,31.0,,,,,,,,
810,Austin Bryant,2020,DET,DE,,,,4.5,,,,,,,,,
811,Charles Harris,2020,DET,DE,,,,,,,,,,2.0,,,
812,Charles Harris,2020,DET,DE,,,,,70.0,,,,,,,,
813,Charles Harris,2020,DET,DE,,,,7.5,,,,,,,,,
814,Charles Harris,2020,DET,DE,,,31.0,,,,,,,,,,
815,Julian Okwara,2020,DET,DE,,,,5.0,,,,,,,,,
816,Abdullah Anderson,2020,GB,DE,,,,,,,,,0.0,,,,
817,Al-Quadin Muhammad,2020,IND,DE,,,,,51.0,,,,,,,,
818,Al-Quadin Muhammad,2020,IND,DE,,,,6.0,,,,,,,,,
819,Kemoko Turay,2020,IND,DE,,,,,38.0,,,,,,,,
820,Kemoko Turay,2020,IND,DE,,,,5.5,,,,,,,,,
821,Kwity Paye,2020,IND,DE,,,,,,,,,,,2.0,,
822,Dawuane Smoot,2020,JAX,DE,,,,,49.0,,,,,,,,
823,Dawuane Smoot,2020,JAX,DE,,,,6.0,,,,,,,,,
824,Josh Allen,2020,JAX,DE,,,,,70.0,,,,,,,,
825,Josh Allen,2020,JAX,DE,,,,7.5,,,,,,,,,
826,Frank Clark,2020,KC,DE,,,,,,,,,,2.0,,,
827,Frank Clark,2020,KC,DE,,,,4.5,,,,,,,,,
828,Melvin Ingram III,2020,KC,DE,,,,,,,,,,2.0,,,
829,Melvin Ingram III,2020,KC,DE,,,,,33.0,,,,,,,,
830,Mike Danna,2020,KC,DE,,,,,,,,,,,,0.0,
831,Mike Danna,2020,KC,DE,,,,,,,,,,2.0,,,
832,Joey Bosa,2020,LAC,DE,,,,,,,,,,7.0,,,
833,Joey Bosa,2020,LAC,DE,,,,,70.0,,,,,,,,
834,Joey Bosa,2020,LAC,DE,,,,10.5,,,,,,,,,
835,Maxx Crosby,2020,LV,DE,,,,,64.0,,,,,,,,
836,Maxx Crosby,2020,LV,DE,,,,9.0,,,,,,,,,
837,Yannick Ngakoue,2020,LV,DE,,,,,,,,,,2.0,,,
838,Yannick Ngakoue,2020,LV,DE,,,,,50.0,,,,,,,,
839,Yannick Ngakoue,2020,LV,DE,,,,10.0,,,,,,,,,
840,Emmanuel Ogbah,2020,MIA,DE,,,,,,12.0,,,,,,,
841,Emmanuel Ogbah,2020,MIA,DE,,,,,64.0,,,,,,,,
842,Emmanuel Ogbah,2020,MIA,DE,,,,9.0,,,,,,,,,
843,D.J. Wonnum,2020,MIN,DE,,,,,77.0,,,,,,,,
844,D.J. Wonnum,2020,MIN,DE,,,,8.0,,,,,,,,,
845,Danielle Hunter,2020,MIN,DE,,,,,40.0,,,,,,,,
846,Danielle Hunter,2020,MIN,DE,,,,6.0,,,,,,,,,
847,Everson Griffen,2020,MIN,DE,,,,,,,,,,,,0.0,
848,Everson Griffen,2020,MIN,DE,,,,,42.0,,,,,,,,
849,Everson Griffen,2020,MIN,DE,,,,5.0,,,,,,,,,
850,Cameron Jordan,2020,NO,DE,,,,,,,,,,2.0,,,
851,Cameron Jordan,2020,NO,DE,,,,,76.0,,,,,,,,
852,Cameron Jordan,2020,NO,DE,,,,12.5,,,,,,,,,
853,Carl Granderson,2020,NO,DE,,,,,29.0,,,,,,,,
854,Christian Ringo,2020,NO,DE,,,,,,,,,,,1.0,,
855,Marcus Davenport,2020,NO,DE,,,,,,,,,,3.0,,,
856,Marcus Davenport,2020,NO,DE,,,,,62.0,,,,,,,,
857,Marcus Davenport,2020,NO,DE,,,,9.0,,,,,,,,,
858,Tanoh Kpassagnon,2020,NO,DE,,,,,38.0,,,,,,,,
859,Derek Barnett,2020,PHI,DE,,,,,31.0,,,,,,,,
860,Josh Sweat,2020,PHI,DE,,,,,53.0,,,,,,,,
861,Josh Sweat,2020,PHI,DE,,,,7.5,,,,,,,,,
862,Carlos Dunlap,2020,SEA,DE,,,,,,7.0,,,,,,,
863,Carlos Dunlap,2020,SEA,DE,,,,,65.0,,,,,,,,
864,Carlos Dunlap,2020,SEA,DE,,,,8.5,,,,,,,,,
865,Darrell Taylor,2020,SEA,DE,,,,,40.0,,,,,,,,
866,Darrell Taylor,2020,SEA,DE,,,,6.5,,,,,,,,,
867,Kerry Hyder Jr.,2020,SEA,DE,,,,,,,,,,,2.0,,
868,Rasheem Green,2020,SEA,DE,,,,,47.0,,,,,,,,
869,Rasheem Green,2020,SEA,DE,,,,6.5,,,,,,,,,
870,Chase Young,2020,WSH,DE,,,,,,,,,,2.0,,,
871,Montez Sweat,2020,WSH,DE,,,,,,,,,,3.0,,,
872,Montez Sweat,2020,WSH,DE,,,,,32.0,,,,,,,,
873,Montez Sweat,2020,WSH,DE,,,,5.0,,,,,,,,,
874,Carlos Watkins,2020,,DE,,,,,,,,,1.0,,,,
875,Carlos Watkins,2020,,DE,,,,,,,,29.0,,,,,
876,Demarcus Lawrence,2020,,DE,,,,,,,,,,2.0,,,
877,Demarcus Lawrence,2020,,DE,,,,,,,,,1.0,,,,
878,Demarcus Lawrence,2020,,DE,,,,,,,,40.0,,,,,
879,Dorance Armstrong,2020,,DE,,,,,,,,,,,,1.0,
880,Dorance Armstrong,2020,,DE,,,,,,,,,,,1.0,,
881,Dorance Armstrong,2020,,DE,,,,,33.0,,,,,,,,
882,Dorance Armstrong,2020,,DE,,,,5.0,,,,,,,,,
883,Randy Gregory,2020,,DE,,,,,,,,,,3.0,,,
884,Randy Gregory,2020,,DE,,,,,40.0,,,,,,,,
885,Randy Gregory,2020,,DE,,,,6.0,,,,,,,,,
886,J.J. Watt,2021,ARI,DE,,,,,94.0,,,,,,,,
887,J.J. Watt,2021,ARI,DE,,,,12.5,,,,,,,,,
888,Zach Allen,2021,ARI,DE,,,,,,8.0,,,,,,,
889,Zach Allen,2021,ARI,DE,,,,,41.0,,,,,,,,
890,Zach Allen,2021,ARI,DE,,,,5.5,,,,,,,,,
891,Calais Campbell,2021,BAL,DE,,,,,,,,,,2.0,,,
892,Calais Campbell,2021,BAL,DE,,,,,49.0,,,,,,,,
893,Calais Campbell,2021,BAL,DE,,,,5.5,,,,,,,,,
894,A.J. Epenesa,2021,BUF,DE,,,,,,,,,,2.0,,,
895,A.J. Epenesa,2021,BUF,DE,,,,,57.0,,,,,,,,
896,A.J. Epenesa,2021,BUF,DE,,,,6.5,,,,,,,,,
897,Boogie Basham,2021,BUF,DE,,,,,,,,21.0,,,,,
898,Greg Rousseau,2021,BUF,DE,,,,,61.0,,,,,,,,
899,Greg Rousseau,2021,BUF,DE,,,,8.0,,,,,,,,,
900,Shaq Lawson,2021,BUF,DE,,,,,31.0,,,,,,,,
901,Brian Burns,2021,CAR,DE,,,,,83.0,,,,,,,,
902,Brian Burns,2021,CAR,DE,,,,12.5,,,,,,,,,
903,Henry Anderson,2021,CAR,DE,,,,,,,,,0.0,,,,
904,Marquis Haynes Sr.,2021,CAR,DE,,,,,,,,,,,,1.0,
905,Marquis Haynes Sr.,2021,CAR,DE,,,,,41.0,,,,,,,,
906,Marquis Haynes Sr.,2021,CAR,DE,,,,5.0,,,,,,,,,
907,Yetur Gross-Matos,2021,CAR,DE,,,,,,,,,,,4.0,,
908,Yetur Gross-Matos,2021,CAR,DE,,,36.0,,,,,,,,,,
909,Joseph Ossai,2021,CIN,DE,,,,,,,,,,,,1.0,
910,Joseph Ossai,2021,CIN,DE,,,,,,,,,,,2.0,,
911,Sam Hubbard,2021,CIN,DE,,,,,,,,,,,,1.0,
912,Sam Hubbard,2021,CIN,DE,,,,,,,,,,,2.0,,
913,Sam Hubbard,2021,CIN,DE,,,,,42.0,,,,,,,,
914,Sam Hubbard,2021,CIN,DE,,,,7.5,,,,,,,,,
915,Trey Hendrickson,2021,CIN,DE,,,,,,,,,,3.0,,,
916,Trey Hendrickson,2021,CIN,DE,,,,,48.0,,,,,,,,
917,Trey Hendrickson,2021,CIN,DE,,,,8.0,,,,,,,,,
918,Alex Wright,2021,CLE,DE,,,,,,,,,,,,0.0,
919,Isaiah Thomas,2021,CLE,DE,,,,,,,,,,,1.0,,
920,Myles Garrett,2021,CLE,DE,,,,,,,,,,2.0,,,
921,Myles Garrett,2021,CLE,DE,,,,,91.0,,,,,,,,
922,Myles Garrett,2021,CLE,DE,,,,16.0,,,,,,,,,
923,Dre'Mont Jones,2021,DEN,DE,,,,,47.0,,,,,,,,
924,Dre'Mont Jones,2021,DEN,DE,,,,6.5,,,,,,,,,
925,Dayo Odeyingbo,2021,IND,DE,,,,,37.0,,,,,,,,
926,Dayo Odeyingbo,2021,IND,DE,,,,5.0,,,,,,,,,
927,Kwity Paye,2021,IND,DE,,,,,35.0,,,,,,,,
928,Kwity Paye,2021,IND,DE,,,,6.0,,,,,,,,,
929,Yannick Ngakoue,2021,IND,DE,,,,,,,,,,1.0,,,
930,Yannick Ngakoue,2021,IND,DE,,,,,63.0,,,,,,,,
931,Yannick Ngakoue,2021,IND,DE,,,,9.5,,,,,,,,,
932,Arden Key,2021,JAX,DE,,,,,31.0,,,,,,,,
933,Arden Key,2021,JAX,DE,,,,4.5,,,,,,,,,
934,Carlos Dunlap,2021,KC,DE,,,,,,,,,,,,0.0,
935,Carlos Dunlap,2021,KC,DE,,,,,,,,,,1.0,,,
936,Carlos Dunlap,2021,KC,DE,,,,,,8.0,,,,,,,
937,Frank Clark,2021,KC,DE,,,,,,,,,,,1.0,,
938,Frank Clark,2021,KC,DE,,,,,48.0,,,,,,,,
939,Frank Clark,2021,KC,DE,,,,7.5,,,,,,,,,
940,George Karlaftis,2021,KC,DE,,,,,,,,,,,2.0,,
941,George Karlaftis,2021,KC,DE,,,,,44.0,,,,,,,,
942,George Karlaftis,2021,KC,DE,,,,7.0,,,,,,,,,
943,Mike Danna,2021,KC,DE,,,,,,,,,,2.0,,,
944,Mike Danna,2021,KC,DE,,,,,34.0,,,,,,,,
945,Mike Danna,2021,KC,DE,,,,5.0,,,,,,,,,
946,Chandler Jones,2021,LV,DE,,,,,,,,,,,,1.0,
947,Chandler Jones,2021,LV,DE,,,,,,,,,,,3.0,,
948,Chandler Jones,2021,LV,DE,,,,4.5,,,,,,,,,
949,Maxx Crosby,2021,LV,DE,,,,,,,,,,3.0,,,
950,Maxx Crosby,2021,LV,DE,,,,,102.0,,,,,,,,
951,Maxx Crosby,2021,LV,DE,,,,12.5,,,,,,,,,
952,Maxx Crosby,2021,LV,DE,,,30.0,,,,,,,,,,
953,Maxx Crosby,2021,LV,DE,,58.0,,,,,,,,,,,
954,Maxx Crosby,2021,LV,DE,88.0,,,,,,,,,,,,
955,Emmanuel Ogbah,2021,MIA,DE,,,,,,,,,,,,0.0,
956,Cameron Jordan,2021,NO,DE,,,,,,,,,,2.0,,,
957,Cameron Jordan,2021,NO,DE,,,,,68.0,,,,,,,,
958,Cameron Jordan,2021,NO,DE,,,,8.5,,,,,,,,,
959,Carl Granderson,2021,NO,DE,,,,,34.0,,,,,,,,
960,Carl Granderson,2021,NO,DE,,,,5.5,,,,,,,,,
961,Brandon Graham,2021,PHI,DE,,,,,,,,,,2.0,,,
962,Brandon Graham,2021,PHI,DE,,,,,66.0,,,,,,,,
963,Brandon Graham,2021,PHI,DE,,,,12.0,,,,,,,,,
964,Janarius Robinson,2021,PHI,DE,,,,,,,,,,,,0.0,
965,Janarius Robinson,2021,PHI,DE,,,,,,,,,0.0,,,,
966,Josh Sweat,2021,PHI,DE,,,,,,,,,,2.0,,,
967,Josh Sweat,2021,PHI,DE,,,,,,,,,1.0,,,,
968,Josh Sweat,2021,PHI,DE,,,,,,,,42.0,,,,,
969,Josh Sweat,2021,PHI,DE,,,,,93.0,,,,,,,,
970,Josh Sweat,2021,PHI,DE,,,,12.5,,,,,,,,,
971,Quinton Jefferson,2021,SEA,DE,,,,,47.0,,,,,,,,
972,Quinton Jefferson,2021,SEA,DE,,,,5.5,,,,,,,,,
973,Carl Nassib,2021,TB,DE,,,,,31.0,,,,,,,,
974,Casey Toohill,2021,WSH,DE,,,,,,,,,,,,1.0,
975,Casey Toohill,2021,WSH,DE,,,,,,,,,,,2.0,,
976,Casey Toohill,2021,WSH,DE,,,,,,,,,0.0,,,,
977,Efe Obada,2021,WSH,DE,,,,,30.0,,,,,,,,
978,Montez Sweat,2021,WSH,DE,,,,,59.0,,,,,,,,
979,Montez Sweat,2021,WSH,DE,,,,8.0,,,,,,,,,
980,Dante Fowler Jr.,2021,,DE,,,,,,,,,,2.0,,,
981,Dante Fowler Jr.,2021,,DE,,,,,49.0,,,,,,,,
982,Dante Fowler Jr.,2021,,DE,,,,6.0,,,,,,,,,
983,Demarcus Lawrence,2021,,DE,,,,,,,,,,,,1.0,
984,Demarcus Lawrence,2021,,DE,,,,,,,,,,,2.0,,
985,Demarcus Lawrence,2021,,DE,,,,,,,,,,3.0,,,
986,Demarcus Lawrence,2021,,DE,,,,,41.0,,,,,,,,
987,Demarcus Lawrence,2021,,DE,,,,7.0,,,,,,,,,
988,Dorance Armstrong,2021,,DE,,,,,,,,,,,2.0,,
989,Dorance Armstrong,2021,,DE,,,,,56.0,,,,,,,,
990,Dorance Armstrong,2021,,DE,,,,8.5,,,,,,,,,
991,Sam Williams,2021,,DE,,,,,,,,,,,3.0,,
992,Brent Urban,2022,BAL,DE,,,,,,,,,,,1.0,,
993,A.J. Epenesa,2022,BUF,DE,,,,6.5,40.0,9.0,2.0,38.0,1.0,,,,
994,Greg Rousseau,2022,BUF,DE,,,,6.0,45.0,,,,,,,,
995,Leonard Floyd,2022,BUF,DE,,,,10.5,66.0,,,,,,,,
996,Montez Sweat,2022,CHI,DE,,,,12.5,79.0,,,,,3.0,,,
997,Myles Murphy,2022,CIN,DE,,,,,,,,,,,,0.0,
998,Trey Hendrickson,2022,CIN,DE,,,,17.5,122.0,,,,,3.0,,,
999,Alex Wright,2022,CLE,DE,,,,5.0,38.0,,,,,2.0,,,
1000,Myles Garrett,2022,CLE,DE,,,,14.0,102.0,,,,,4.0,,,
1001,Za'Darius Smith,2022,CLE,DE,,,,5.5,38.0,,,,,,,,
1002,Zach Allen,2022,DEN,DE,,,33.0,5.0,45.0,,,,,,,,
1003,Jonathan Greenard,2022,HOU,DE,,,,12.5,105.0,,,,,,,,
1004,Will Anderson Jr.,2022,HOU,DE,,,,8.0,57.0,,,,,,,,
1005,Samson Ebukam,2022,IND,DE,,,,9.5,67.0,,,,,3.0,,,
1006,Charles Omenihu,2022,KC,DE,,,,8.0,52.0,,,,,3.0,,,
1007,Mike Danna,2022,KC,DE,,,,6.5,,,,,,,,,
1008,Jonah Williams,2022,LAR,DE,,,30.0,,,,,,,,,,
1009,Malcolm Koonce,2022,LV,DE,,,,8.0,52.0,,,,,3.0,,,
1010,Maxx Crosby,2022,LV,DE,90.0,,35.0,14.5,100.0,,,,,2.0,,,
1011,Will Bradley-King,2022,NE,DE,,,,,,,,,0.0,,,,
1012,Carl Granderson,2022,NO,DE,,,34.0,8.5,55.0,,,,,,,,
1013,Josh Sweat,2022,PHI,DE,,,,7.5,54.0,,,,,2.0,,,
1014,Jarran Reed,2022,SEA,DE,,,,7.0,46.0,,,,,,1.0,,
1015,Dorance Armstrong,2022,,DE,,,,7.5,41.0,,,,,,,,
1016,Sam Williams,2022,,DE,,,,,,,,,,,,0.0,
1017,Marlon Davidson,2020,ATL,DL,,,,,,,,,,,,,1.0
1018,Khyiris Tonga,2020,CHI,DL,,,,,,,,,,,,,1.0
1019,Kenny Clark,2020,GB,DL,,,,,,,,,,,,,1.0
1020,Maliek Collins,2020,HOU,DL,,,,,,,,,,,,,1.0
1021,Leonard Williams,2020,NYG,DL,,,,,,,,,,,,,1.0
1022,Kenny Clark,2021,GB,DL,,,,,,,,,,,,,1.0
1023,Dalvin Tomlinson,2021,MIN,DL,,,,,,,,,,,,,1.0
1024,Chris Wormley,2021,PIT,DL,,,,,,,,,,,,,1.0
1025,Kerry Hyder Jr.,2021,SF,DL,,,,,,,,,,,,,1.0
1026,Michael Dwumfour,2021,SF,DL,,,,,,,,,,,,,1.0
1027,Calais Campbell,2022,ATL,DL,,,,6.5,,,,,,,,,1.0
1028,Jeremiah Ledbetter,2022,JAX,DL,,,,,,,,,,,1.0,,1.0
1029,Dean Lowry,2022,MIN,DL,,,,,,,,,,,,,1.0
1030,Jeremiah Pharms Jr.,2022,NE,DL,,,,,,,,,,,,,1.0
1031,Kevin Givens,2022,SF,DL,,,,,,,,,,,1.0,,1.0
1032,Greg Gaines,2022,TB,DL,,,,,,,,,,,1.0,,1.0
1033,Bilal Nichols,2020,CHI,DL,,,,,,,,,,,,,2.0
1034,Aidan Hutchinson,2021,DET,DL,,,,,,,,,,,,,2.0
1035,Jarran Reed,2021,GB,DL,,,,,,,,,,,,,2.0
1036,Leonard Williams,2021,NYG,DL,,,,,,,,,,,,,2.0
1037,Aidan Hutchinson,2022,DET,DL,,,,14.5,118.0,9.0,,,,3.0,2.0,,2.0
1038,Karl Brooks,2022,GB,DL,,,,,,,,,,,2.0,,2.0
1039,Nick Williams,2022,LAC,DL,,,,,,,,,,,2.0,,2.0
1040,Logan Hall,2022,TB,DL,,,,,,,,,,,2.0,,2.0
1041,Angelo Blackson,2022,JAX,DL,,,,,,,,,,,3.0,,3.0
1042,Grady Jarrett,2020,ATL,DL,,,,,,,,,,,1.0,,
1043,Marlon Davidson,2020,ATL,DL,,,,,,,,,,,1.0,,
1044,Marlon Davidson,2020,ATL,DL,,,,,,,,,1.0,,,,
1045,Bilal Nichols,2020,CHI,DL,,,,,,,,,,,2.0,,
1046,B.J. Hill,2020,CIN,DL,,,,,55.0,,,,,,,,
